Blog	four	looking	second	here	k	music	until	example	want	wrong	series	re	wasn	service	needed	project	came	net	best	country	asked	much	life	things	big	had	easy	possible	right	old	people	support	happy	back	time	team	along	love	working	such	years	course	didn	internet	million	open	future	note	take	ways	going	artist	where	many	photos	technology	being	around	world	favorite	other	image	her	am	having	original	number	tv	th	large	small	past	hours	pick	via	company	information	its	always	found	really	major	self	also	play	sometimes	set	see	available	last	whole	rules	recent	using	couple	d	continue	anything	into	link	line	posted	us	ago	results	try	video	let	great	makes	tools	next	process	high	books	could	david	system	lot	face	fact	should	move	means	stuff	edition	email	ve	off	less	web	five	become	does	doing	told	word	work	interview	order	office	then	them	they	network	another	john	do	away	com	hand	photo	thanks	night	security	comments	marketing	post	months	way	update	together	change	live	social	write	product	remember	still	non	now	january	year	space	shows	care	than	online	only	between	article	comes	actually	these	media	real	read	early	business	aren	start	trying	since	month	very	learned	family	put	site	history	help	soon	event	miss	latest	pretty	during	x	close	won	probably	both	else	look	used	game	run	within	doesn	youtube	go	facebook	click	started	control	links	software	him	times	data	man	need	based	she	state	problem	keep	well	page	twitter	home	north	he	piece	friends	amp	companies	likely	even	while	ever	never	give	amazing	before	personal	better	weeks	went	content	isn	user	seen	don	m	points	stop	bad	said	against	three	website	say	make	left	just	human	yes	yet	popular	down	digital	finally	did	making	sunday	may	maybe	talk	nbsp	group	interesting	rock	morning	after	thing	think	first	little	anyone	were	show	enough	get	nearly	behind	reading	across	according	those	different	pay	same	running	money	either	users	videos	film	again	important	u	public	search	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	believe	build	most	services	find	please	point	simple	understand	itself	yesterday	bit	google	often	decision	single	others	later	ll	day	including	almost	thought	add	works	buy	minutes	special	under	every	would	phone	me	end	over	writing	each	got	free	days	already	top	too	took	talking	though	watch	amazon	report	full	however	news	quickly	several	everything	christmas	why	check	no	posts	today	huge	name	turn	place	given	white	any	sure	written	review	outside	come	case	myself	events	week	without	when	seems	blog	there	program	far	sony	list	design	version	short	might	friday	feel	says	story	kind	nothing	part	his	wrote	art	use	recently	question	long	called	once	issues	app	few	something	united	six	instead	our	out	york	their	which	who	view	stories	gets	know	because	getting	own	apps	made	whether	book
TMZ.com	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	3	0	0	1	5	1	0	0	1	0	0	2	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	5	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	3	0	0	0	1	1	1	0	0	1	0	0	2	2	0	0	0	1	1	0	0	0	0	1	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	5	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	4	4	0	2	0	1	0	1	4	0	1	0	1	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	1	6	0	0	0	0	3	0	3	1	1	1	0	0	0	0	0	0	0	1	6	0	0	1	0	1	2	3	1	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	5	2	0	1	0	0	1	0	0	0	0	0	0	8	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	6	0	7	1	5	0	0	1	0	2	2	2	0	2	0	0
Schneier on Security	0	1	0	2	0	0	2	1	1	3	1	4	0	0	0	2	0	0	2	3	1	3	0	1	1	7	2	4	0	1	5	2	0	2	2	0	0	0	2	0	1	1	1	1	0	2	0	0	2	0	4	0	3	1	1	1	5	2	0	0	11	1	2	2	1	0	1	0	1	0	0	2	0	1	0	5	4	5	0	0	2	0	0	12	3	0	1	0	0	2	3	1	0	2	0	1	0	2	7	1	0	1	13	0	2	3	0	0	0	2	1	0	3	1	0	6	0	1	1	0	2	0	0	0	0	0	2	3	2	0	0	0	0	0	0	2	2	6	2	1	0	3	4	13	2	1	0	0	0	1	3	1	0	2	7	2	0	2	1	1	0	0	1	0	0	0	0	2	3	0	3	0	0	0	3	0	1	0	3	1	4	0	0	9	2	4	2	0	0	0	0	3	4	4	3	1	0	0	0	0	2	1	0	0	1	4	0	0	1	0	1	1	0	1	3	0	3	0	2	0	1	0	0	0	0	2	0	1	2	6	0	3	5	0	5	0	0	3	0	0	0	33	6	0	0	0	1	3	7	1	0	0	0	0	0	4	0	1	0	0	1	0	3	4	3	1	0	0	6	2	2	1	2	1	2	1	1	0	0	0	2	0	0	3	0	0	3	5	2	0	2	2	0	0	3	3	5	0	0	2	8	1	0	3	0	6	0	0	2	1	2	0	5	0	1	0	0	0	1	0	0	4	0	0	1	0	0	0	2	0	3	1	2	1	0	0	7	0	3	0	1	0	3	0	0	1	0	0	0	0	2	2	2	1	0	1	0	0	1	6	0	0	0	1	1	0	6	3	2	1	3	0	1	2	0	2	2	0	2	1	0	1	0	0	1	0	1	4	0	4	0	4	0	0	6	1	1	0	0	0	1	0	0	3	1	4	1	4	1	3	0	0	0	2	4	2	0	14	2	0	23	1	0	0	0	6	3	0	2	2	0	4	3	4	5	0	3	0	0	4	0	2	0	0	2	2	0	0	1	2	5	0	10	2	7	0	2	0	4	2	0	0	0	2	0	0
Search Engine Roundtable	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	1	0	2	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	2	1	23	2	0	0	0	0	2	4	0	1	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Copyblogger	0	0	0	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	6	0	0	0	0	1	0	1	2	0	0	0	1	1	0	1	3	0	0	2	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	3	0	0	0	0	0	2	1	6	0	0	0	0	2	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	5	14	0	1	0	0	1	1	1	0	0	0	0	0	0	0	5	0	0	0	0	1	4	0	0	0	0	1	0	1	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	10	0	0	1	2	1	0	0	0	0	0	0	3	0	2	0	1	1	0	1	1	1	0	0	1	2	0	1	1	0	0	0	0	0	0	1	1	2	11	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	1	0	0	0	0	0	2	1	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	2	1	1	0	0	3	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	2	0	0	1	1	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	1	0	3	0	0
Engadget RSS Feed	0	3	1	1	0	0	0	0	3	0	0	2	1	0	0	0	0	2	1	4	0	2	1	0	2	0	0	0	1	0	1	0	1	0	2	0	0	0	0	1	1	0	0	5	1	2	0	0	0	0	0	2	2	0	0	0	0	0	2	0	3	0	1	0	0	0	0	1	2	0	1	2	0	0	0	6	0	11	1	1	5	1	0	0	1	1	0	2	1	2	1	2	0	0	0	2	0	0	3	0	1	1	2	0	0	0	2	2	1	1	0	3	0	2	0	0	0	0	2	0	1	0	0	0	0	1	0	3	2	1	0	0	0	1	0	0	1	0	0	1	0	2	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	6	1	9	0	0	0	2	3	1	0	0	1	0	0	0	0	0	1	1	0	4	0	1	1	0	0	0	0	0	0	0	1	0	2	2	0	0	1	0	0	1	1	0	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	2	2	2	1	0	2	0	0	1	2	2	0	0	0	0	0	0	2	0	1	0	2	0	1	0	0	1	0	1	1	1	1	0	0	4	2	5	1	2	1	0	5	2	2	0	0	0	1	2	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	4	1	1	0	0	1	0	2	0	1	1	1	0	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0	1	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1	0	0	1	1	3	0	0	1	1	1	0	0	0	0	0	0	3	0	1	0	1	0	0	1	1	2	1	0	2	0	0	0	0	0	4	1	2	0	0	0	0	1	5	1	1	1	0	2	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	2	1	2	0	0	0	1	4	0	2	1	0	0	4	0	0	1	1	0	0	0	0	0
Techdirt.	1	4	4	27	2	2	3	6	5	3	1	23	5	12	0	0	8	6	2	3	4	14	3	17	8	21	2	7	5	4	34	4	6	23	34	0	2	2	5	14	27	7	3	11	2	0	2	4	7	2	10	2	9	21	4	4	21	10	10	2	14	31	5	2	1	2	6	11	4	1	1	10	0	1	5	21	12	26	7	5	13	8	4	17	1	2	3	16	6	10	3	3	6	3	1	5	4	1	8	1	2	4	25	10	0	2	6	2	3	6	0	6	3	1	2	8	3	4	8	2	13	7	2	4	2	3	20	16	3	2	4	8	3	8	3	2	0	8	0	4	7	5	18	39	2	11	5	15	6	4	0	1	2	0	6	69	1	7	9	12	4	1	10	2	7	1	1	2	22	3	12	1	37	1	6	1	19	5	29	6	5	4	18	29	7	11	5	3	11	7	0	12	11	5	9	0	0	3	8	1	1	1	0	0	7	8	1	0	2	3	2	10	0	7	3	3	1	1	8	2	6	3	0	5	3	2	3	10	9	2	0	5	11	4	2	2	2	18	2	6	0	9	17	0	2	1	18	7	33	21	2	4	3	3	3	1	9	0	4	9	5	0	8	6	5	3	4	14	10	10	3	2	4	22	0	38	8	5	14	1	20	2	3	11	10	0	12	1	2	0	4	7	0	0	11	8	10	12	8	2	39	3	1	25	4	4	0	1	4	18	4	5	15	1	5	3	5	3	0	14	7	4	24	5	18	3	0	6	8	16	3	0	1	8	4	8	4	1	18	6	5	2	10	1	1	4	0	9	18	3	0	4	2	0	8	5	11	7	2	0	7	4	0	2	13	10	28	2	6	6	22	2	5	8	27	6	6	23	6	1	5	17	2	1	2	0	13	6	2	1	3	1	9	2	30	6	9	2	7	3	1	6	2	19	4	3	4	4	9	8	0	2	8	1	11	5	1	21	0	6	7	10	0	1	3	9	0	2	4	34	4	2	11	19	4	1	17	0	7	3	4	6	5	0	22	7	3	0	6	20	40	2	15	40	20	1	8	1	5	28	11	11	0	10	7	0
PerezHilton	0	0	0	7	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	2	2	0	0	0	3	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	4	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	1	0	0	0	0	5	0	0	0	1	0	0	0	0	7	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	1	3	0	0	1	3	0	0	1	1	4	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	1	0	0	3	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	9	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	1	0	0	0	1	0	1	0	0
c25a46fe1a8bc60ae63fcfbdbb54938d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SpikedHumor - Today's Videos and Pictures	0	0	6	102	0	2	1	0	1	0	0	2	0	0	0	2	0	0	6	0	0	0	2	1	1	5	0	0	0	2	3	1	1	2	4	1	0	1	0	1	2	0	0	0	1	0	2	0	1	0	0	0	0	2	2	0	1	4	1	0	2	0	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	7	0	2	1	2	0	3	3	0	4	4	0	4	1	0	0	4	1	1	0	0	2	0	0	5	2	2	1	0	15	2	1	1	0	0	0	0	0	1	0	1	0	4	1	1	1	1	0	0	0	2	3	0	0	0	0	2	0	0	1	2	0	1	0	2	3	0	1	3	0	2	1	6	0	0	0	1	2	0	0	3	0	2	0	1	1	2	0	0	0	0	2	1	0	0	0	3	0	0	1	0	0	2	1	0	1	1	0	4	0	1	0	0	0	0	1	0	0	0	2	3	1	1	0	0	0	1	0	0	0	1	0	0	2	0	1	5	0	1	0	0	1	5	2	0	0	1	0	0	0	1	1	0	4	1	0	3	0	3	2	0	1	0	0	1	7	0	0	0	0	0	5	3	3	1	0	1	2	1	0	0	2	0	0	0	0	3	1	0	0	0	3	0	0	3	1	2	2	12	2	0	0	0	3	0	0	2	3	0	1	2	2	0	1	2	0	1	3	0	2	2	1	0	0	5	0	4	0	0	0	1	1	2	0	0	0	1	1	0	0	4	1	1	0	3	1	1	0	1	0	1	0	2	2	2	0	0	1	0	0	0	2	0	0	2	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	3	1	3	2	2	5	3	0	0	0	1	1	5	0	2	2	0	0	0	102	0	1	2	0	2	0	1	1	13	4	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	2	0	0	0	4	0	0	1	0	1	0	1	0	0	0	2	0	3	1	0	0	0	7	9	0	0	0	0	0	2	1	2	0	3	1	2	0	0	0	1	1	0	3	0	3	1	1	2	4	3	0	0	1	0	0	0
Home - SearchEngineWatch	0	0	0	12	0	0	0	0	0	0	0	5	0	1	0	1	0	0	5	0	0	0	0	0	1	1	0	1	0	1	1	0	3	0	4	4	1	0	1	2	0	1	1	0	0	0	0	0	3	3	0	0	0	1	0	0	0	0	4	0	3	0	0	0	1	0	1	0	0	1	2	1	1	0	1	1	3	7	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	3	7	0	0	3	0	4	0	2	2	1	0	2	1	0	0	0	0	0	0	0	1	0	4	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	2	0	1	2	0	1	0	2	0	0	0	0	0	0	0	0	7	1	0	2	2	0	3	0	3	0	0	0	3	0	1	0	11	0	0	1	1	4	1	1	10	1	0	3	0	0	10	0	2	0	0	2	0	0	2	0	0	0	1	1	5	1	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	3	0	3	0	3	1	1	0	3	0	0	0	2	0	2	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	3	1	0	4	3	0	0	2	1	0	0	0	0	1	3	4	0	5	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	5	0	0	0	0	0	4	0	0	1	0	0	0	2	2	0	0	1	2	0	28	0	0	3	0	3	0	0	0	0	0	0	0	0	0	11	3	1	0	0	0	0	0	1	0	33	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	2	6	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	1	5	1	0	0	0	1	1	5	1	4	3	1	0	1	0	2	1	2	2	0	1	0	0
d5a293e5657321cd08e65f6042a22385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
456 Berea Street	0	0	0	2	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	2	2	1	0	0	2	1	0	1	0	0	1	0	1	0	2	1	1	1	0	0	0	0	1	1	1	0	1	4	0	0	1	0	0	0	0	18	0	0	1	0	2	0	0	0	2	0	0	0	1	0	0	8	3	1	3	0	0	1	0	4	3	4	0	1	0	0	1	8	2	4	0	0	1	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	5	1	2	6	0	0	0	1	0	0	2	0	1	0	1	3	0	0	1	0	6	0	0	0	0	0	0	0	3	0	3	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	1	1	3	0	0	10	0	0	0	0	1	4	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	6	4	0	0	0	1	0	1	0	0	2	0	1	0	0	1	5	0	5	0	0	0	6	0	4	0	0	0	0	1	0	0	0	0	1	4	2	2	1	1	0	2	0	0	0	0	3	4	0	1	1	0	0	1	0	0	1	1	0	0	5	0	2	0	0	0	0	4	0	0	0	3	0	5	1	1	0	0	0	0	0	3	0	3	0	0	1	3	1	1	1	0	1	0	0	1	1	7	0	2	0	0	3	1	0	0	0	1	0	0	0	2	1	2	0	1	2	0	0	0	0	1	3	0	0	2	0	1	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	1	0	4	2	0	0	0	0	0	3	0	0	2	0	3	0	2	0	0	1	1	2	3	0	0	1	0	0	2	12	3	1	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	5	2	0	0	0	1	1	0	0	0	0	9	0	0	7	0	0	0	1	4	2	1	0	0	0	0	0	0	0	2	0	2	0	9	0	0	1	0	0	0	0	1	0	0	1	2	0	1	0	3	3	1	0	0	1	0	1	1	1	0	0	0	0
Pharyngula	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
